rel_filepath,abs_filepath,note_exists,n_backlinks,n_wikilinks,n_tags,n_embedded_files,modified_time
070 🌱 personal/70.03 🌱 bedroom redecoration/bedroom redecoration - concept.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.03 🌱 bedroom redecoration/bedroom redecoration - concept.md,True,1,1.0,0.0,2.0,2025-03-30 17:51:50.000000000
050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/game_architecture.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/game_architecture.md,True,1,0.0,0.0,0.0,2024-08-24 12:27:20.000000000
050 🛠 craft/50.02 💜 dev/🗺 roadmap to swe.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/🗺 roadmap to swe.md,True,0,3.0,0.0,1.0,2024-08-29 10:54:00.000000000
070 🌱 personal/70.00 🌱 logs/000. aug 2024/000. aug 25 2024.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.00 🌱 logs/000. aug 2024/000. aug 25 2024.md,True,0,0.0,0.0,0.0,2024-08-26 19:04:52.000000000
098 🌾 compost/🌾 dailies/098.04 🌾 april dailies/2025_04-26_daily.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dailies/098.04 🌾 april dailies/2025_04-26_daily.md,True,1,8.0,0.0,0.0,2025-04-26 19:39:52.000000000
098 🌾 compost/🌾 dump/dump_us-emigration.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dump/dump_us-emigration.md,True,0,1.0,0.0,0.0,2025-04-21 16:41:24.000000000
050 🛠 craft/50.02 💜 dev/front-end/Chakra UI.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/front-end/Chakra UI.md,True,2,0.0,0.0,0.0,2025-04-26 18:00:02.000000000
050 🛠 craft/50.02 💜 dev/algorithms/union-find.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/algorithms/union-find.md,True,1,1.0,0.0,3.0,2024-08-30 16:42:58.000000000
098 🌾 compost/🌾 starred ⭐/dump_ruta-portugal-medieval ⭐.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 starred ⭐/dump_ruta-portugal-medieval ⭐.md,True,1,1.0,1.0,0.0,2025-05-03 17:56:37.231850863
030 🚀 projects/30.02 🐺 noxshin/personal brand.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.02 🐺 noxshin/personal brand.md,True,0,1.0,0.0,0.0,2025-04-21 14:23:18.000000000
060 🐆 business/60.01 🐆 career/design engineer.md,/home/leo/library/areas/obsidian/060 🐆 business/60.01 🐆 career/design engineer.md,True,1,1.0,0.0,0.0,2025-04-18 15:02:38.000000000
098 🌾 compost/🌾 dump/dump_emprendimiento_z.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dump/dump_emprendimiento_z.md,True,1,1.0,0.0,0.0,2025-05-03 17:52:34.535899401
070 🌱 personal/70.01 🌱 notes/_archived/IATHON/IATHON - 25-04-04.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.01 🌱 notes/_archived/IATHON/IATHON - 25-04-04.md,True,0,0.0,0.0,0.0,2025-04-05 11:13:56.000000000
040 📚 library/40.02 📚 tech/Arch Linux/arch linux.md,/home/leo/library/areas/obsidian/040 📚 library/40.02 📚 tech/Arch Linux/arch linux.md,True,2,0.0,0.0,0.0,2025-05-03 10:02:21.644399166
030 🚀 projects/30.01 💍 jewellery/brands.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.01 💍 jewellery/brands.md,True,0,0.0,0.0,0.0,2024-12-11 17:16:38.000000000
050 🛠 craft/50.02 💜 dev/tech/nocobase.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/tech/nocobase.md,True,0,0.0,1.0,0.0,2025-04-23 20:30:12.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/PARA.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/PARA.md,True,3,0.0,0.0,1.0,2025-05-03 11:25:21.369267702
060 🐆 business/60.03 🐆 ideas/Airbnb - The Well.md,/home/leo/library/areas/obsidian/060 🐆 business/60.03 🐆 ideas/Airbnb - The Well.md,True,0,0.0,0.0,0.0,2025-04-01 21:22:26.000000000
070 🌱 personal/70.02 🌱 concepts/Chaos-Rationale Paradox.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.02 🌱 concepts/Chaos-Rationale Paradox.md,True,0,0.0,0.0,0.0,2025-04-23 19:30:34.000000000
070 🌱 personal/70.01 🌱 notes/_archived/dumbphones.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.01 🌱 notes/_archived/dumbphones.md,True,0,0.0,2.0,0.0,2025-03-01 20:42:24.000000000
050 🛠 craft/50.02 💜 dev/💡 project ideas.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/💡 project ideas.md,True,0,1.0,0.0,0.0,2024-08-31 10:57:28.000000000
050 🛠 craft/50.02 💜 dev/concepts/full_stack.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/concepts/full_stack.md,True,1,0.0,0.0,0.0,2024-08-30 10:22:10.000000000
050 🛠 craft/50.02 💜 dev/projects/dev_inspiration.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/projects/dev_inspiration.md,True,0,0.0,0.0,0.0,2024-08-28 10:45:34.000000000
070 🌱 personal/70.00 🌱 logs/001. oct 2024/2024-10-02.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.00 🌱 logs/001. oct 2024/2024-10-02.md,True,0,0.0,0.0,0.0,2024-10-02 14:55:04.000000000
030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/titulos.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/titulos.md,True,0,0.0,0.0,0.0,2025-04-23 19:54:20.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/meshtastic.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/meshtastic.md,True,0,0.0,0.0,0.0,2025-04-29 20:09:48.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/authenticity paradox + masks.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/authenticity paradox + masks.md,True,5,3.0,0.0,0.0,2025-03-29 18:50:22.000000000
098 🌾 compost/🕳 archive/_dumplog.md,/home/leo/library/areas/obsidian/098 🌾 compost/🕳 archive/_dumplog.md,True,0,0.0,0.0,0.0,2025-04-21 16:22:10.000000000
070 🌱 personal/70.01 🌱 notes/standing desk.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.01 🌱 notes/standing desk.md,True,1,1.0,0.0,0.0,2025-04-27 13:58:08.000000000
050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/🚕 plantamata_art.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/🚕 plantamata_art.md,True,1,0.0,0.0,0.0,2024-08-24 12:17:56.000000000
070 🌱 personal/70.00 🌱 logs/000. aug 2024/003. aug 29 2024.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.00 🌱 logs/000. aug 2024/003. aug 29 2024.md,True,0,0.0,0.0,1.0,2024-08-29 20:21:28.000000000
030 🚀 projects/30.00 🎸 inhaven/visuals.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/visuals.md,True,0,1.0,0.0,0.0,2024-08-26 11:17:32.000000000
060 🐆 business/60.02 🐆 job postings/job posts/tesla - 3D frontend engineer.md,/home/leo/library/areas/obsidian/060 🐆 business/60.02 🐆 job postings/job posts/tesla - 3D frontend engineer.md,True,0,0.0,0.0,0.0,2025-04-18 16:11:18.000000000
098 🌾 compost/🌾 starred ⭐/dump_obsidian-new-notes-observer-matplotlib ⭐.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 starred ⭐/dump_obsidian-new-notes-observer-matplotlib ⭐.md,True,4,7.0,2.0,0.0,2025-04-26 19:51:08.000000000
030 🚀 projects/30.00 🎸 inhaven/concept.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/concept.md,True,0,0.0,0.0,0.0,2024-08-26 11:17:22.000000000
098 🌾 compost/🌾 dailies/098.04 🌾 april dailies/2025_04_27_daily.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dailies/098.04 🌾 april dailies/2025_04_27_daily.md,True,0,7.0,0.0,0.0,2025-04-27 15:42:06.000000000
